ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_32_P224888	3.84e-07	1.01e-11	-9.581117	16.1930284	-3.2357872	FYN	FYN proto-oncogene, Src family tyrosine kinase
A_24_P376070	3.42e-06	1.80e-10	-8.592533	13.5681282	-3.0106597	TNAP	TRAFs and NIK-associated protein
A_24_P230691	8.86e-06	7.01e-10	-8.13995	12.3199356	-2.7866189	KIF13A	kinesin family member 13A
A_24_P333306	1.85e-05	1.96e-09	-7.802658	11.3722723	-2.4340286		
A_24_P264994	2.03e-05	2.67e-09	-7.701101	11.0842015	-3.1497162	LOC100129397	uncharacterized LOC100129397
A_23_P310	2.19e-05	4.03e-09	7.567281	10.7027811	2.0730798	MARCKSL1	MARCKS like 1
A_32_P46722	2.19e-05	4.05e-09	-7.565787	10.6985117	-3.0862984		
A_23_P404730	2.32e-05	4.90e-09	-7.504393	10.522839	-2.6068538	ARHGAP33	Rho GTPase activating protein 33
A_32_P64668	2.87e-05	6.81e-09	-7.397784	10.2168087	-2.4708261		
A_23_P252388	3.11e-05	8.21e-09	-7.337552	10.0433766	-3.8134286	SPEF2	sperm flagellar 2
A_32_P152986	3.88e-05	1.13e-08	-7.23552	9.7487455	-2.3458674		
A_32_P65616	4.08e-05	1.31e-08	-7.186782	9.6076426	-4.0370531	PRL	prolactin
A_32_P309404	4.08e-05	1.44e-08	-7.155665	9.5174387	-2.3272197	SLC22A3	solute carrier family 22 member 3
A_23_P364236	4.08e-05	1.51e-08	-7.142114	9.4781254	-2.8175415	MGA	MGA, MAX dimerization protein
A_24_P7974	4.41e-05	1.74e-08	-7.095265	9.3420819	-2.4748829	SLC26A6	solute carrier family 26 member 6
A_24_P80915	4.62e-05	1.95e-08	-7.059657	9.2385496	-3.0123485	BCLAF1	BCL2 associated transcription factor 1
A_32_P17145	7.68e-05	3.67e-08	-6.858134	8.6505357	-2.8546929		
A_32_P209702	7.68e-05	3.91e-08	-6.837829	8.5911054	-2.4446211		
A_24_P941427	7.68e-05	4.10e-08	-6.822348	8.5457731	-2.4844183		
A_23_P326913	7.68e-05	4.25e-08	-6.811349	8.5135548	-3.4260916	PRUNE2	prune homolog 2
A_32_P1533	7.68e-05	4.26e-08	-6.810693	8.5116323	-2.8253794	LOC202181	SUMO interacting motifs containing 1 pseudogene
A_32_P887687	7.99e-05	4.64e-08	-6.783424	8.4317122	-3.4954745	LOC400756	uncharacterized LOC400756
A_32_P77225	1.05e-04	6.35e-08	-6.683372	8.1380218	-2.616917		
A_32_P206561	1.09e-04	6.89e-08	-6.657416	8.0617164	-2.7755842		
A_24_P937159	1.10e-04	7.35e-08	-6.637028	8.0017511	-2.2915773	KLF8	Kruppel like factor 8
A_24_P927936	1.10e-04	7.57e-08	-6.627647	7.9741479	-2.8989396		
A_23_P103971	1.16e-04	8.38e-08	-6.595297	7.8789259	-4.4652926	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1
A_32_P227043	1.16e-04	8.60e-08	-6.58729	7.8553462	-2.5509974		
A_23_P126706	1.28e-04	1.01e-07	-6.537264	7.7079398	-3.4824851	ANGPTL1	angiopoietin like 1
A_32_P114615	1.28e-04	1.08e-07	-6.515318	7.6432261	-2.4765065		
A_23_P42802	1.28e-04	1.12e-07	6.502736	7.6061127	2.7821527	PDIA4	protein disulfide isomerase family A member 4
A_32_P139260	1.28e-04	1.13e-07	-6.501239	7.6016988	-2.0397895		
A_24_P917668	1.28e-04	1.14e-07	-6.497503	7.5906755	-3.9247382		
A_24_P214556	1.28e-04	1.17e-07	-6.489452	7.5669197	-2.8630675		
A_24_P930391	1.28e-04	1.18e-07	-6.487622	7.5615195	-3.2408714		
A_23_P37704	1.35e-04	1.28e-07	6.461889	7.485569	2.5559853	CDT1	chromatin licensing and DNA replication factor 1
A_24_P162128	1.50e-04	1.46e-07	-6.41858	7.3576602	-2.3785588	ASAP1-IT2	ASAP1 intronic transcript 2
A_24_P38895	1.50e-04	1.56e-07	6.398849	7.2993559	2.243686	H2AFX	H2A histone family member X
A_32_P47019	1.50e-04	1.61e-07	-6.388722	7.2694262	-2.0856459		
A_24_P928637	1.50e-04	1.64e-07	-6.383311	7.2534304	-2.4558193	ASAH1	N-acylsphingosine amidohydrolase 1
A_32_P141969	1.50e-04	1.65e-07	-6.381584	7.2483242	-3.4878323	NTRK3	neurotrophic receptor tyrosine kinase 3
A_32_P222872	1.50e-04	1.66e-07	-6.379067	7.2408843	-2.3444971		
A_24_P919640	1.58e-04	1.82e-07	-6.349219	7.1526208	-3.6419105	CD44	CD44 molecule (Indian blood group)
A_23_P429998	1.58e-04	1.83e-07	-6.34771	7.1481587	-5.7372348	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
A_23_P113161	1.61e-04	1.91e-07	-6.335061	7.1107404	-2.2724175	C1orf21	chromosome 1 open reading frame 21
A_23_P70213	1.61e-04	1.98e-07	-6.32351	7.0765668	-3.379662	APC	APC, WNT signaling pathway regulator
A_23_P217379	1.61e-04	2.11e-07	-6.303943	7.0186621	-3.0661633	COL4A6	collagen type IV alpha 6 chain
A_24_P769977	1.61e-04	2.11e-07	-6.303215	7.0165076	-2.153138		
A_32_P207481	1.61e-04	2.14e-07	-6.299281	7.0048659	-2.2697205	KALRN	kalirin, RhoGEF kinase
A_24_P890536	1.61e-04	2.16e-07	-6.296027	6.9952339	-2.0129118	LINC01410	long intergenic non-protein coding RNA 1410
A_23_P354308	1.61e-04	2.21e-07	-6.289261	6.9752043	-2.7815331	ABI3BP	ABI family member 3 binding protein
A_32_P176956	1.61e-04	2.21e-07	-6.289064	6.9746209	-2.3102667		
A_32_P105195	1.62e-04	2.26e-07	-6.2818	6.9531182	-1.5958368	DDX46	DEAD-box helicase 46
A_32_P195850	1.62e-04	2.30e-07	-6.275773	6.935273	-2.0980819	DPY19L2	dpy-19 like 2
A_24_P772488	1.68e-04	2.47e-07	-6.254014	6.8708405	-2.5073697	PLXNA4	plexin A4
A_24_P252739	1.68e-04	2.48e-07	-6.251985	6.8648298	-2.462574	KLF6	Kruppel like factor 6
A_23_P24077	1.75e-04	2.63e-07	-6.233723	6.8107399	-2.3446267	C10orf54	chromosome 10 open reading frame 54
A_32_P45297	1.80e-04	2.76e-07	-6.21895	6.766971	-2.8659115	LINC00312	long intergenic non-protein coding RNA 312
A_23_P215459	1.84e-04	2.89e-07	-6.203985	6.7226284	-3.4086081	ELN	elastin
A_32_P189662	1.84e-04	2.91e-07	-6.201416	6.7150164	-2.6399665		
A_24_P140608	1.86e-04	3.00e-07	-6.192522	6.6886578	-2.377947	HBEGF	heparin binding EGF like growth factor
A_32_P163891	1.89e-04	3.09e-07	-6.183024	6.6605072	-2.6858208		
A_32_P203959	1.89e-04	3.14e-07	6.177383	6.6437861	2.0078955		
A_24_P234415	1.98e-04	3.34e-07	-6.158587	6.5880651	-3.4468409	STAC	SH3 and cysteine rich domain
A_32_P139708	2.02e-04	3.46e-07	-6.14738	6.5548383	-2.7744676		
A_32_P199002	2.10e-04	3.66e-07	-6.129621	6.5021741	-2.9071566		
A_24_P376441	2.23e-04	3.94e-07	-6.106162	6.4325974	-3.0507343	TAF5L	TATA-box binding protein associated factor 5 like
A_32_P201616	2.38e-04	4.27e-07	-6.080487	6.356432	-2.2302999		
A_24_P316234	2.54e-04	4.65e-07	-6.053659	6.2768298	-2.4026148		
A_24_P646279	2.54e-04	4.69e-07	-6.050939	6.2687578	-2.6909576		
A_24_P794366	2.57e-04	4.95e-07	-6.03437	6.2195892	-3.141585		
A_23_P118122	2.57e-04	4.95e-07	-6.033966	6.2183891	-2.3039998	RGS11	regulator of G-protein signaling 11
A_24_P754086	2.57e-04	4.97e-07	6.033022	6.215588	2.3559085	NCL	nucleolin
A_32_P58912	2.57e-04	5.01e-07	-6.030565	6.2082973	-2.1204146		
A_23_P92614	2.62e-04	5.18e-07	-6.019697	6.1760395	-1.5121444	HELQ	helicase, POLQ-like
A_23_P2895	2.63e-04	5.28e-07	-6.014	6.1591323	-2.71517	ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1
A_32_P226801	2.68e-04	5.45e-07	-6.00382	6.1289161	-1.8164535		
A_24_P380679	2.86e-04	5.96e-07	-5.975573	6.045064	-2.4058387	LSMEM1	leucine rich single-pass membrane protein 1
A_23_P87532	2.86e-04	6.02e-07	-5.97234	6.0354635	-1.298583	CAPRIN2	caprin family member 2
A_24_P925635	2.86e-04	6.08e-07	-5.969162	6.026031	-2.7234517	SEPT7P2	septin 7 pseudogene 2
A_23_P300847	2.86e-04	6.13e-07	-5.966725	6.0187945	-2.5294976	DIO3OS	DIO3 opposite strand/antisense RNA (head to head)
A_24_P52882	2.86e-04	6.18e-07	5.964132	6.0110962	1.8857288	HRK	harakiri, BCL2 interacting protein
A_23_P213893	2.88e-04	6.39e-07	-5.953658	5.98	-2.9731863	MEGF10	multiple EGF like domains 10
A_24_P808100	2.88e-04	6.42e-07	-5.952005	5.9750916	-1.8888044	MCTS1	MCTS1, re-initiation and release factor
A_24_P150361	2.88e-04	6.47e-07	5.949954	5.9690016	2.1590729	HSP90B1	heat shock protein 90 beta family member 1
A_32_P384562	2.88e-04	6.54e-07	-5.94662	5.9591027	-2.2451199	CROCCP3	ciliary rootlet coiled-coil, rootletin pseudogene 3
A_24_P307395	2.88e-04	6.61e-07	-5.943182	5.9488975	-1.9281703		
A_23_P254442	2.90e-04	6.77e-07	-5.935472	5.9260051	-2.0202468	LOC155060	AI894139 pseudogene
