Gene_Name	EC18	EC19	EC38	EC54	EC63	EC64	EC65	EC7	EU18	EU19	EU38	EU54	EU63	EU64	EU65	EU7
ENSG00000231128	41	4	14	38	14	8	25	19	3	8	7	3	8	1	17	3
ENSG00000254150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197818	444	316	394	360	429	375	383	508	784	737	892	519	482	684	580	677
ENSG00000197815	35	27	15	25	50	45	21	60	28	47	36	41	29	54	6	48
ENSG00000231121	0	10	6	4	4	25	3	1	2	2	2	1	3	2	0	1
ENSG00000121988	257	375	367	307	360	438	224	351	265	191	334	362	244	211	221	382
ENSG00000121989	469	346	300	574	350	348	269	337	270	213	276	286	227	282	213	311
ENSG00000231124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231125	9	13	12	13	16	12	3	13	15	21	13	19	12	22	9	19
ENSG00000197813	474	110	182	416	278	207	422	276	63	58	47	84	119	71	71	38
ENSG00000270839	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ENSG00000165689	551	470	573	590	621	523	565	626	822	609	917	731	662	799	441	771
ENSG00000165688	546	673	766	613	585	634	542	750	1219	836	1200	1300	824	995	783	1060
ENSG00000270838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165685	94	4	14	64	18	15	154	54	0	1	4	2	5	3	3	1
ENSG00000165684	385	304	402	364	403	406	243	406	637	426	657	670	457	601	480	643
ENSG00000165682	26	2	7	27	14	2	12	4	7	1	6	4	28	2	4	1
ENSG00000197927	137	87	140	149	135	72	92	119	70	51	60	61	27	41	30	61
ENSG00000127124	471	174	156	242	253	213	417	205	200	91	181	279	340	187	150	154
ENSG00000127125	969	1120	1487	1035	892	884	804	1284	1440	1130	1483	927	963	1281	1344	1432
ENSG00000199552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127129	0	0	6	0	2	0	0	3	2	0	0	706	1	10	0	5
ENSG00000230835	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000230834	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000239719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164379	1	0	39	3	23	0	1	22	82	45	90	27	8	45	262	13
ENSG00000230831	0	0	8	2	0	0	0	6	0	0	0	0	0	0	0	0
ENSG00000230830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000230832	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0
ENSG00000239713	858	531	669	727	370	828	678	669	655	620	792	581	1379	405	1382	344
ENSG00000203883	218	192	169	85	283	222	182	160	196	108	84	99	132	136	219	50
ENSG00000203880	1195	1817	1422	1760	1500	2348	1175	1519	1379	1361	1606	1473	1018	1276	1462	1310
ENSG00000239710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203886	1	4	5	2	1	6	4	7	2	1	0	2	0	1	0	3
ENSG00000230838	185	16	91	249	98	18	92	45	0	1	0	15	1	0	0	3
ENSG00000239715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164080	486	435	559	395	466	681	413	561	1411	1413	1555	799	806	1125	1069	677
ENSG00000164081	978	1006	1131	971	918	1152	849	1066	1625	1092	1561	989	991	1418	1425	1456
ENSG00000126457	1371	2710	2358	1550	2072	2778	1320	2470	3285	1873	3518	4971	2488	2505	2335	2845
ENSG00000126456	1408	938	983	1006	1158	1020	999	1488	1321	993	1234	1462	1047	1064	897	1610
ENSG00000126453	565	477	563	453	507	557	398	623	712	470	550	886	517	526	425	835
ENSG00000164087	46	34	48	22	47	27	24	43	67	54	70	357	73	85	70	259
ENSG00000164088	1051	618	691	789	673	795	726	737	479	438	1458	423	378	1233	365	479
ENSG00000164089	0	35	14	4	3	1	2	12	0	0	2	70	0	0	0	1
ENSG00000126458	1403	1039	1168	1078	1065	995	895	1160	1489	1075	979	629	1132	967	1134	462
ENSG00000109332	4707	4849	5817	5203	4514	5468	4523	5642	6895	5355	7182	5686	4555	5371	7212	6020
ENSG00000165973	0	5	0	6	1	0	0	0	5	3	0	10	0	3	7	2
ENSG00000165972	3	7	4	7	1	2	4	5	0	7	3	6	0	0	0	0
ENSG00000165970	3	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0
ENSG00000234683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171551	15	9121	2069	283	1051	712	134	2158	16	2	6	109	3	1	16	9
ENSG00000171552	1404	1100	1578	1449	1344	1227	1741	1379	2359	1739	2389	2066	2162	2295	3423	1912
ENSG00000174705	2459	2601	5992	3517	5934	5105	1992	4698	4156	1344	1914	3909	4252	5441	3068	3998
ENSG00000200288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171557	0	495	438	11	49	47	21	270	2	7	20	0	21	1	6	0
ENSG00000200287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258642	0	1	0	2	2	1	0	8	2	0	0	5	0	2	0	1
ENSG00000200283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228355	0	0	0	0	0	0	0	0	3	1	0	0	0	3	3	0
ENSG00000277304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258643	3	3	1	0	8	1	2	5	4	6	6	6	11	3	0	6
ENSG00000277302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233674	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000277300	1181	1666	1562	1507	1507	2689	1309	1294	2549	2025	2559	1643	3284	1422	5399	1139
ENSG00000228354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258645	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0
ENSG00000165029	2909	2403	4595	4906	3905	3225	3859	3872	1961	1138	2597	515	1451	2613	2002	1592
ENSG00000165028	116	94	63	140	72	117	115	106	67	59	62	118	47	56	86	103
ENSG00000199551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000209480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165023	2	14	46	2	7	10	4	21	98	19	71	44	179	51	67	71
ENSG00000117834	51	19	20	24	97	50	8	77	133	84	139	96	57	250	29	602
ENSG00000165025	2525	445	938	2122	970	714	2199	1116	757	626	712	966	1115	755	1061	870
ENSG00000228350	4	3	1	0	6	1	1	8	9	8	3	6	1	2	3	8
ENSG00000263081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237409	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ENSG00000228353	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0
ENSG00000084693	2188	3016	3354	2470	3324	2336	1965	2735	2784	1868	2485	2854	2499	2269	3401	2777
ENSG00000237404	0	0	0	0	2	0	0	0	0	5	2	1	7	5	10	0
ENSG00000125409	12	34	10	15	24	12	7	16	14	15	16	31	18	3	10	41
ENSG00000237406	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0
ENSG00000237401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237400	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264278	19	14	14	28	18	14	20	23	17	13	14	22	11	11	13	22
ENSG00000259558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153914	2110	2115	1999	1856	2092	2115	1614	2342	3001	2645	3385	3371	2290	3122	1916	3687
ENSG00000115091	6295	5907	6867	6214	5454	4581	5551	5970	6428	4473	6551	5920	6308	5027	6564	4841
