"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","threshold"
"221755_at",3.44463681912473,5.92363447265332,11.1431224468853,9.8200955489827e-10,2.18821189117982e-05,11.4827484232942,"EHBP1L1","TRUE"
"210089_s_at",2.81326739209666,5.46981144564374,8.16850361824295,1.30261694244343e-07,0.00145131066642334,7.44701306173604,"LAMA4","TRUE"
"202796_at",1.84574604135083,7.97897030380398,7.546487206207,4.15292541132366e-07,0.00308465456468417,6.43570067932524,"SYNPO","TRUE"
"219837_s_at",2.20685146121374,5.53450230226904,7.38213438675912,5.69051267461448e-07,0.00317004234821086,6.15804575057708,"CYTL1","TRUE"
"205168_at",1.20012506741257,8.8197629350534,6.83840171163514,1.65584954956033e-06,0.00737945910257058,5.20816048409745,"DDR2","TRUE"
"219777_at",1.91349631116509,7.83274955138017,6.66084055438158,2.36733456766926e-06,0.00861353371505504,4.88759258065087,"GIMAP6","TRUE"
"215617_at",1.77258324343144,6.324454146796,6.51070995426004,3.21328543515609e-06,0.00861353371505504,4.61260852661245,"SPATS2L","TRUE"
"213592_at",1.9224359867133,7.17977321186669,6.41027779855243,3.9485862003434e-06,0.00861353371505504,4.42665858465175,"APLNR","TRUE"
"213541_s_at",1.00731832624549,7.71787659597999,6.37930556371543,4.20878798399476e-06,0.00861353371505504,4.36899344932913,"ERG","TRUE"
"203300_x_at",1.18482561210057,9.56713133840575,6.37434579975829,4.25206977810912e-06,0.00861353371505504,4.3597452407011,"AP1S2","TRUE"
"210374_x_at",1.72343525838475,7.45642512653707,6.32210274338099,4.7368433904365e-06,0.00879592343909138,4.26209708642083,"PTGER3","TRUE"
"217023_x_at",2.50237281436875,7.97325998472148,6.27884958063793,5.1811569614302e-06,0.00888090158242685,4.18093078356689,NA,"TRUE"
"218611_at",1.19915143010278,8.47895738546962,6.24019772750785,5.61451163561988e-06,0.00893629734117984,4.10815406546145,"IER5","TRUE"
"217967_s_at",2.73188046140665,9.20581331591024,6.20120948991641,6.0895651435622e-06,0.00904625200626644,4.0345109228304,"NIBAN1","TRUE"
"215051_x_at",3.14945879983475,6.92721295552489,6.11443780873059,7.30127023114371e-06,0.0101615874165765,3.86977777737613,"AIF1","TRUE"
"207317_s_at",2.36114211458147,6.3983235800434,6.08587083756339,7.75241152815153e-06,0.0101615874165765,3.81529438331509,"CASQ2","TRUE"
"221276_s_at",1.58414275368645,7.13756252438348,6.0419254206793,8.50316643375094e-06,0.0103577454277266,3.7312412114453,"SYNC","TRUE"
"212109_at",-1.18724563922166,7.76822961505682,-6.02393539440334,8.83171759308918e-06,0.0103577454277266,3.69674877399504,"JPT2","TRUE"
"202897_at",1.30670445664082,8.17759900892685,5.98945999394424,9.49831857989697e-06,0.0105825516457922,3.63051411566735,"SIRPA","TRUE"
"210377_at",-1.7811385944403,6.86357285394759,-5.89072619447541,1.17086863946581e-05,0.0114899127305234,3.43985508531974,"ACSM3","TRUE"
"205801_s_at",2.13808933961276,5.18129109438262,5.8742135839545,1.21270606491999e-05,0.0114899127305234,3.40782954067008,"RASGRP3","TRUE"
"209596_at",2.2480680244786,9.36464265227114,5.83390982422433,1.321394137944e-05,0.0114899127305234,3.32949653832226,"MXRA5","TRUE"
"41577_at",2.32165765203966,5.44512766994718,5.8191533865887,1.36364771411086e-05,0.0114899127305234,3.30075802645853,"PPP1R16B","TRUE"
"207876_s_at",2.12486905920155,8.5497734629889,5.79733585596609,1.42867770849222e-05,0.0114899127305234,3.25821084011459,"FLNC","TRUE"
"204364_s_at",2.38126533649135,7.74081658363662,5.77160062228924,1.50949483489055e-05,0.0114899127305234,3.20793655766242,"REEP1","TRUE"
"202820_at",1.54838232054669,8.80551243796185,5.76276779432356,1.53830229268766e-05,0.0114899127305234,3.19065983789474,"AHR","TRUE"
"218704_at",-1.4526287483407,6.35910661487518,-5.74744310858487,1.58962825252862e-05,0.0114899127305234,3.16065915543048,"RNF43","TRUE"
"203642_s_at",1.36016653749961,7.77441497745478,5.72119225126054,1.68166944738947e-05,0.0114899127305234,3.1091920025978,"COBLL1","TRUE"
"203619_s_at",2.17845897682347,5.50191392087627,5.71558286827826,1.70203619591084e-05,0.0114899127305234,3.09818180846298,"FAIM2","TRUE"
"221900_at",2.74670184970531,5.54979543811628,5.69690160557734,1.77170815106664e-05,0.0114899127305234,3.06148231061939,"COL8A2","TRUE"
"207921_x_at",-1.72782425548651,7.43414146830152,-5.67453685047964,1.85898001468122e-05,0.0114899127305234,3.01748291893387,"PAX8","TRUE"
"222379_at",1.54525512436202,6.70390631348137,5.66704067595542,1.88920827531382e-05,0.0114899127305234,3.0027198396942,"KCNE4","TRUE"
"216866_s_at",1.90533807344975,6.57565820516245,5.66367225058242,1.90295511603078e-05,0.0114899127305234,2.99608349378364,"COL14A1","TRUE"
"213817_at",2.83345447362917,5.94754239477743,5.65784550461396,1.92697725173432e-05,0.0114899127305234,2.98460017560544,"IRAK3","TRUE"
"205433_at",2.55137922407998,7.64217142942174,5.59352307616415,2.2137734706554e-05,0.0114899127305234,2.85752610128757,"BCHE","TRUE"
"221682_s_at",-2.23596485313987,4.52538511027298,-5.58964581835534,2.23240010531849e-05,0.0114899127305234,2.84984836422737,"PCDHGB6","TRUE"
"219728_at",2.18356820530282,5.05898053079766,5.56444231470931,2.35745930056936e-05,0.0114899127305234,2.79989128585846,"MYOT","TRUE"
"222033_s_at",1.36979243045251,7.38355056135318,5.55452569679467,2.40861281796361e-05,0.0114899127305234,2.78021181760158,"FLT1","TRUE"
"218677_at",-1.0129177929098,7.62604753659638,-5.54618063199333,2.45254014980615e-05,0.0114899127305234,2.76364095554699,"S100A14","TRUE"
"214574_x_at",1.93505748308913,6.93309690515767,5.53239988783102,2.52688490622756e-05,0.0114899127305234,2.73625622163439,"LST1","TRUE"
"205942_s_at",-2.2885605991492,6.76240143831797,-5.52757742671904,2.55344315368952e-05,0.0114899127305234,2.72666722760155,"ACSM3","TRUE"
"201362_at",-1.64459905118999,9.41764659820044,-5.51584043352914,2.61928225200164e-05,0.0114899127305234,2.70331656652935,"IVNS1ABP","TRUE"
"204897_at",2.2418711011008,7.45394200347433,5.51182548354274,2.64220122799558e-05,0.0114899127305234,2.69532469995433,"PTGER4","TRUE"
"211990_at",1.65236247505515,11.3141172017347,5.50907920131899,2.6579963148364e-05,0.0114899127305234,2.68985693405795,"HLA-DPA1","TRUE"
"220442_at",-2.38530053872006,6.50060639663231,-5.46513205988365,2.92433065499657e-05,0.0114899127305234,2.6022258061971,NA,"TRUE"
"210831_s_at",2.22332153198456,6.97684924963955,5.45503409196296,2.98929646544249e-05,0.0114899127305234,2.58205502398456,"PTGER3","TRUE"
"204220_at",1.61423044240169,7.24147845170407,5.44604217930039,3.04838926745545e-05,0.0114899127305234,2.56408257525976,"GMFG","TRUE"
"205523_at",-2.59154588682145,3.62191789062763,-5.44014156725752,3.0878151306323e-05,0.0114899127305234,2.55228319178688,"HAPLN1","TRUE"
"202709_at",1.54588037894492,9.72926257672026,5.43994640149461,3.08912803991373e-05,0.0114899127305234,2.55189284513305,"FMOD","TRUE"
"201438_at",1.11083224221312,12.815330192766,5.4376907320133,3.1043437849727e-05,0.0114899127305234,2.54738097850603,"COL6A3","TRUE"
"208396_s_at",1.49594016645962,7.15437892466108,5.43368523118788,3.13155239046028e-05,0.0114899127305234,2.53936744059596,"PDE1A","TRUE"
"218537_at",2.56258142713824,6.24581599593742,5.43022751233976,3.15523621353864e-05,0.0114899127305234,2.53244816993616,"HCFC1R1","TRUE"
"210113_s_at",1.85403130123695,4.85413491949211,5.42498832820611,3.19147204183473e-05,0.0114899127305234,2.52196109662938,"NLRP1","TRUE"
"202291_s_at",2.65638621007079,11.9248037072884,5.42420273889266,3.19694201540389e-05,0.0114899127305234,2.52038831213985,"MGP","TRUE"
"206683_at",-2.5642217522681,3.9032609458651,-5.40907923375649,3.30413564089919e-05,0.0116419397877975,2.49009514877185,"ZNF165","TRUE"
"205265_s_at",2.04524652583982,7.12617690008501,5.40361913901056,3.34373354763289e-05,0.0116419397877975,2.47915119826641,NA,"TRUE"
"211581_x_at",2.16029499539698,5.80848566114871,5.34469419798711,3.80326138937525e-05,0.0124967673163561,2.36080782063651,"LST1","TRUE"
"205659_at",1.39629183913605,6.92410485970775,5.34254180902616,3.82121992966306e-05,0.0124967673163561,2.35647687701182,"HDAC9","TRUE"
"203238_s_at",1.19614554419218,9.39809890871177,5.33604174378968,3.87598145377953e-05,0.0124967673163561,2.34339427897463,"NOTCH3","TRUE"
"214370_at",2.99238111827797,4.83388475047956,5.33499458606721,3.88487825202101e-05,0.0124967673163561,2.34128619406917,"S100A8","TRUE"
"202760_s_at",1.45497984359335,8.96209640160163,5.33153374349161,3.91443083426456e-05,0.0124967673163561,2.33431804715938,"PALM2AKAP2","TRUE"
"208296_x_at",1.29894144871192,7.84677365165593,5.327052604986,3.95303756832518e-05,0.0124967673163561,2.32529343788045,"TNFAIP8","TRUE"
"219388_at",-1.37733026752894,7.46002055356672,-5.32374001050512,3.98182686111064e-05,0.0124967673163561,2.31862059720668,"GRHL2","TRUE"
"207697_x_at",2.78269953696148,5.62701219049603,5.30477544424506,4.15082066296056e-05,0.0126903958847157,2.28039300768004,"LILRB2","TRUE"
"204584_at",1.98201353828887,5.82824663781357,5.30405046979282,4.1574244921431e-05,0.0126903958847157,2.27893078569268,"L1CAM","TRUE"
"211340_s_at",1.51936505287348,9.08796549792588,5.29232609367763,4.26572577564712e-05,0.0128450226295601,2.25527476185301,"MCAM","TRUE"
"204724_s_at",1.7182587918407,4.11015774599724,5.28466817431428,4.33801639261852e-05,0.0128885359035625,2.2398146303433,"COL9A3","TRUE"
"201261_x_at",1.62220757178949,9.49620476128876,5.27187531608566,4.46158460286907e-05,0.0130232815821062,2.21397223896682,"BGN","TRUE"
"212636_at",1.15995632632793,8.3249341517101,5.26544866031311,4.52501173019693e-05,0.0130232815821062,2.20098263637222,"QKI","TRUE"
"204513_s_at",1.99698978796354,6.80748424511177,5.26207218426595,4.55870378047965e-05,0.0130232815821062,2.19415611704023,"ELMO1","TRUE"
"202747_s_at",2.27271554384944,8.47163897101152,5.2558269423595,4.62169855853764e-05,0.0130361150607461,2.18152600853448,"ITM2A","TRUE"
"206955_at",1.57773631052677,5.79078784413201,5.22844980911275,4.90851280190364e-05,0.0135925573301277,2.12610558391486,"AQP7","TRUE"
"203723_at",1.19746164681222,8.04025410043785,5.22545479120161,4.94097358407909e-05,0.0135925573301277,2.12003735849125,"ITPKB","TRUE"
"214247_s_at",2.09260532896203,8.9413730420923,5.20646428561044,5.15196178032955e-05,0.0136881199634517,2.0815363875746,"DKK3","TRUE"
"210260_s_at",1.27899765418941,7.9384910896991,5.20294613499671,5.1920477783893e-05,0.0136881199634517,2.07439919278423,"TNFAIP8","TRUE"
