"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_24_P205589",2.14701121942694,0.165200552035786,8.20515718924217,1.18554793227565e-09,2.24744321521496e-05,11.7212141793718,"ACOT7"
"A_24_P260639",2.46109226466283,0.640947771588945,7.11344190829424,2.80211124093621e-08,0.000348735695301228,8.85359398318899,"HIST1H1D"
"A_23_P111194",2.50116694393992,0.166010460326642,7.06601773722902,4.47401877633874e-08,0.000348735695301228,8.39825295913333,"SPDEF"
"A_24_P234196",2.38415307731809,0.136574969465492,6.86038989133806,5.93223805793079e-08,0.000374858122880646,8.16571631179866,"RRM2"
"A_23_P93690",1.85401248133416,0.154481075438063,6.73559400726694,7.48249773558726e-08,0.000405273455924365,7.95832507231195,"MCM7"
"A_23_P150664",1.73382722096489,0.441641488600754,6.62722576448826,1.03975293928212e-07,0.000431674574767351,7.64906114017009,"IFITM5"
"A_24_P267452",2.33983382993182,-0.055029555368313,6.55573601820273,1.13856246971396e-07,0.000431674574767351,7.57736823718202,"CD3EAP"
"A_23_P95634",-2.67409961098961,0.09308687894874,-6.77511188840986,1.41992715741812e-07,0.000445962639481251,7.23149003524565,"MYOZ2"
"A_24_P80915",-2.84650624196075,0.230384375781683,-6.63490856411265,1.79495685626831e-07,0.000445962639481251,7.06729458115359,"BCLAF1"
"A_23_P12816",2.30079402157452,-0.271146177211403,6.48979977401555,2.05028433914732e-07,0.000445962639481251,7.01660802125712,"HELLS"
"A_24_P264994",-2.80367053396883,0.222257970938475,-6.47602076624995,2.13545541492041e-07,0.000445962639481251,6.96131243434988,"LOC100129397"
"A_23_P354308",-2.97601997457916,-0.110385372015145,-6.58062126074051,2.09464026025313e-07,0.000445962639481251,6.95228924232729,"ABI3BP"
"A_23_P300847",-2.44703494734503,0.179402741875536,-6.57981866285911,2.09943105877076e-07,0.000445962639481251,6.95022435533543,"DIO3OS"
"A_24_P937159",-1.81114900425143,0.248971326870584,-6.29025549656159,2.31875684302481e-07,0.000445962639481251,6.91814860998647,"KLF8"
"A_32_P1533",-2.58188232989206,0.249811857858612,-6.51942353657068,2.4936071619133e-07,0.000450202961603719,6.79464649629314,"LOC202181"
"A_23_P311410",-2.37866956804521,-0.125229401450492,-6.40716439330094,2.99146056311908e-07,0.00050091592878142,6.65960705089285,"FLCN"
"A_23_P257583",1.56552259119562,0.119891687567154,6.10592137246432,3.40689562302195e-07,0.000518191626454924,6.55931077776548,"DENND2A"
"A_23_P49708",1.85659652317834,-0.0913657296563898,6.20104806330509,3.41688839515037e-07,0.000518191626454924,6.55533688678996,"GRN"
"A_23_P43820",2.64286261252773,0.24653670472039,6.25091435914878,4.15921490440851e-07,0.000530352918429698,6.3696328935896,"MFSD2A"
"A_23_P92614",-1.67956164029418,-0.116031449280261,-6.10182680665895,4.19649405309145e-07,0.000530352918429698,6.36605955562761,"HELQ"
"A_23_P54622",1.99881623919175,0.204357831057992,6.39960114549669,4.05318457830603e-07,0.000530352918429698,6.34924651705781,"KIF22"
"A_23_P151150",1.89705044086141,0.0331732343699199,6.13821342735342,5.17575135493031e-07,0.000613229490221337,6.17028960131432,"FOXM1"
"A_23_P93282",1.95710500818198,0.2070561962755,6.035538419939,6.33933063823108e-07,0.000705571593396428,5.98448809554646,"HIST1H3J"
"A_23_P47616",2.41822850960528,-0.0934892229447971,6.09052819210423,6.69952454562204e-07,0.000705571593396428,5.92828947294034,"FOLH1"
"A_23_P156284",1.76821727145958,0.280803438240823,5.95847043653847,7.26368414479369e-07,0.000712711061820765,5.85522991737236,"DBN1"
"A_23_P110643",-1.39239837327042,0.0913514000149637,-5.85085228372662,7.76753643759104e-07,0.000712711061820765,5.78802357338013,"CDKL3"
"A_24_P235098",1.85143061943588,0.274385657990427,5.92449842404168,8.07360550550784e-07,0.000712711061820765,5.75703436777368,"FOXQ1"
"A_24_P147540",1.72355799144629,0.478266641726075,5.99057606371393,8.08669592322699e-07,0.000712711061820765,5.75508930565911,"PRR36"
"A_23_P170667",1.80882356377396,-0.430729196010107,5.83669253175129,8.13104950612658e-07,0.000712711061820765,5.74520952162184,"ASPHD1"
"A_23_P86390",2.22744785136324,0.278417658405784,5.9505640146012,8.2278230234394e-07,0.000712711061820765,5.73804544942515,"NRP1"
"A_24_P276888",2.28175107244534,-0.14074655633698,5.98178829094996,8.30456311024189e-07,0.000712711061820765,5.73053799787909,"CENPO"
"A_23_P74914",1.39583217488014,-0.172408609884573,5.87943151071735,8.45914379435945e-07,0.000712711061820765,5.71313445684542,"URB2"
"A_32_P134098",1.67873993625277,-0.0802559099961197,5.87970647713076,9.28132274998082e-07,0.000764982762484289,5.62752461593685,"PTGER4P2-CDK2AP2P2"
"A_23_P108948",2.36589712192157,-0.0250695968276297,6.05314166867168,9.49907764201204e-07,0.000765870601326684,5.5816870820274,"MREG"
"A_24_P57898",2.24215364251933,0.0114302012405346,5.86532598787562,1.06892098894447e-06,0.000827083068874299,5.49572851596579,"BHLHE23"
"A_23_P164814",1.91858271358962,-0.00202894358393394,5.79428003972135,1.10642940978421e-06,0.000829425689912183,5.46295356097151,"C19orf57"
"A_23_P216004",-1.86539114268396,-0.219126715778555,-5.79163306483322,1.11570159269719e-06,0.000829425689912183,5.45598719746756,"SLC25A37"
"A_23_P129903",1.79033174201994,-0.0550806033238874,5.7746283761455,1.28724878698962e-06,0.00093065195207481,5.3235741186574,"TRIM16L"
"A_23_P213424",2.68682777274845,0.504359551251583,5.98671286609199,1.3009588400054e-06,0.00093065195207481,5.30372367720012,"ENC1"
"A_24_P379223",1.78740247826338,0.384776362687387,5.88094468588369,1.39487535537148e-06,0.000940609486789251,5.24271544705637,"IER5"
"A_23_P202837",1.81041494221063,0.102327066041958,5.8437476472118,1.39807553774685e-06,0.000940609486789251,5.23999899521983,"CCND1"
"A_23_P432385",-1.74249894707013,0.0840339677210066,-5.77208267917542,1.42342368749863e-06,0.000940609486789251,5.23044045037776,"H2AFJ"
"A_24_P416079",1.74322151537742,0.749028584088159,5.94319746167913,1.47204618502583e-06,0.000940609486789251,5.18170371455739,"NUSAP1"
"A_32_P127350",-2.14919304542689,0.397793363336418,-5.78441904304722,1.50958423502708e-06,0.000940609486789251,5.17834138068292,"LINC00461"
