"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"232633_at",-1.06895735282804,5.46028325941189,-7.41737162119675,8.88068930264314e-12,4.85551687622014e-07,16.4160372660022,NA
"215635_at",-1.17688408746346,5.50273963249356,-7.14275390869719,3.95899521469753e-11,8.65787673995478e-07,14.9759102157809,NA
"1564378_a_at",-1.55804794888959,5.20610160938929,-6.93393988235128,1.21282944948965e-10,9.4730643072638e-07,13.8980325511705,NA
"230580_at",1.2803261272455,5.46524240253561,6.77411624247715,2.82721830793769e-10,1.71753512207214e-06,13.0837338733963,NA
"242374_at",-1.18597527941102,4.02715641894823,-6.59639679316342,7.16414905105505e-10,2.61133232910957e-06,12.1897435778497,NA
"237001_at",-1.13909882969749,4.44233323216472,-6.56579630285569,8.39757611201398e-10,2.81861488827377e-06,12.0370766256489,NA
"243874_at",-1.44386882745836,5.99980670732834,-6.4930142010417,1.22345912606713e-09,3.344631385886e-06,11.6754956886731,NA
"232030_at",-1.13968610914659,3.78562299722379,-6.45505697605493,1.48749256822203e-09,3.47109919858112e-06,11.4877912551109,NA
"239404_at",-1.16701895988197,6.21673272698014,-6.45036569396948,1.52379269407129e-09,3.47109919858112e-06,11.4646338227731,NA
"214310_s_at",1.02521299636191,6.13881877553346,6.37718922214718,2.21690540834138e-09,4.57812972130025e-06,11.1046149680292,"ZFPL1"
"217700_at",1.06040496538584,4.63167026529638,6.31107047642129,3.10476525487125e-09,5.34012519065878e-06,10.7812839272998,"CNPY4"
"242849_at",-1.10747450865622,4.09123344748758,-6.17999130975734,6.02045238535116e-09,8.22920585422687e-06,10.1459339634247,NA
"238688_at",-1.22073488372486,5.82587819624945,-6.15398639246225,6.85961930523948e-09,9.00693643964347e-06,10.0207963649796,NA
"212952_at",1.26395836791272,9.8625769684606,6.06670558989392,1.06059942169449e-08,1.11612833516572e-05,9.60304419727317,NA
"1562056_at",-1.52761550755993,3.8136030472322,-6.06455661788118,1.07199384384613e-08,1.11612833516572e-05,9.59280272535285,NA
"219384_s_at",-1.04243301238432,6.09371368245727,-6.04117346600028,1.20401445631891e-08,1.1519658678034e-05,9.48150285451717,"ADAT1"
"1556543_at",-1.0944997219529,5.67820728809674,-6.02980452225715,1.27384477574987e-08,1.16079105190207e-05,9.42748052007244,NA
"236429_at",-1.1298825483081,5.60120319301986,-6.02116978146091,1.32952251158794e-08,1.1824620404045e-05,9.38649075816332,NA
"220728_at",-1.12438981578423,6.11941043422484,-5.95368518920571,1.85519302001531e-08,1.38948874478544e-05,9.06734466470981,NA
"230795_at",1.28031416385307,6.88057866371562,5.92629001334597,2.12258903615879e-08,1.4416034770143e-05,8.9384049057599,NA
"239996_x_at",1.09589811786978,6.63282834938125,5.84527719889798,3.15426992737916e-08,1.76084372277943e-05,8.5592191802567,NA
"241346_at",1.05839189968043,6.13200627130862,5.84365504383865,3.17928733714314e-08,1.76084372277943e-05,8.55165913470092,NA
"242918_at",-1.88144989543151,5.52753035935135,-5.80776190118812,3.78534710671029e-08,1.97108431485129e-05,8.38470950861679,NA
"228512_at",-1.06939289940046,5.9066705000998,-5.77801492146438,4.37222747192741e-08,2.10027882849695e-05,8.24682889680701,NA
"227897_at",1.22445992404063,8.9045203536718,5.77635456735542,4.40748860540116e-08,2.10027882849695e-05,8.23914589371268,NA
"222831_at",1.03102613114247,5.24904223750123,5.73970949149263,5.26060603755529e-08,2.28272726272488e-05,8.0699269364982,NA
"1562528_at",-1.03943703483057,3.07127579845083,-5.72155263888864,5.74123684886646e-08,2.36834903381044e-05,7.98633165018664,NA
"243648_at",-1.06240410732277,4.17754089632665,-5.70680911956756,6.16290732624144e-08,2.44396162610974e-05,7.91857366395221,NA
"1555938_x_at",-1.6282957786275,5.7507715564617,-5.69258540312278,6.59837031508585e-08,2.55862338281787e-05,7.85330867657205,NA
"243046_at",-1.07419715745227,6.58509990281419,-5.63891341366065,8.52965551276504e-08,2.97043895006642e-05,7.60796345409309,NA
"226877_at",-1.25745863432389,5.14943079869978,-5.63534523541651,8.67604456860078e-08,2.9834134389198e-05,7.59170483809745,NA
"1560145_at",-1.01132809820984,6.89817119163988,-5.61682808956847,9.47609646214439e-08,3.05240974325016e-05,7.50743555868389,NA
"238000_at",-1.0060846860234,3.98257469743102,-5.60291049915359,1.01244787091593e-07,3.13840128264554e-05,7.44421473663388,NA
"232865_at",-1.17756712145601,6.98045700716979,-5.60012223305355,1.02594963002103e-07,3.13840128264554e-05,7.43156105219247,NA
"241956_at",-1.01872856559653,5.34999183719079,-5.59270852524509,1.06271150576084e-07,3.19645471763048e-05,7.39793582833941,NA
"225428_s_at",1.09346022419538,6.65262539804789,5.55769322298535,1.2544834103222e-07,3.49943267649829e-05,7.23950858126293,NA
"205212_s_at",1.06186941657587,5.67519487040467,5.53862248749635,1.3727532258083e-07,3.62585906381975e-05,7.15349223870685,"ACAP1"
"217149_x_at",1.00005702778624,6.78591300769713,5.5193939520477,1.50301151182665e-07,3.81823262223925e-05,7.06695763868778,"TNK1"
"213788_s_at",1.04479230354622,4.90502076849612,5.50576145264646,1.60259831760633e-07,3.91169924174671e-05,7.00572516291682,NA
"1565627_a_at",1.03386443047533,5.96288920411436,5.45140351132979,2.06780487085985e-07,4.48639806802628e-05,6.76254935469813,NA
"205525_at",-1.2849290984139,6.54464792589239,-5.43073327922782,2.27732156910981e-07,4.75238766378163e-05,6.67049347932991,"CALD1"
"232569_at",-1.16638075984507,4.89989643802799,-5.41705286844146,2.42723669647463e-07,4.92196466582442e-05,6.60969355238992,NA
"222228_s_at",1.07851932579443,6.72156970289696,5.41480914621467,2.45272661283761e-07,4.9484438212877e-05,6.59973140478526,"ALKBH4"
"242974_at",-1.10208767716009,5.22743286991253,-5.38692225321058,2.79217996234148e-07,5.24613193955397e-05,6.47614077783343,NA
"232372_at",-1.28392558840255,5.30850198027639,-5.36979569458951,3.02293044807639e-07,5.5277164631631e-05,6.40044778258324,NA
"233241_at",-1.03501658143448,4.98231630329232,-5.36723453666023,3.05899899209568e-07,5.55650398315053e-05,6.38914216528567,NA
"231046_at",1.12402851908128,5.10319528673101,5.35902529303885,3.17746070091649e-07,5.73576703372725e-05,6.35292857916161,NA
"235977_at",-1.10962545412156,5.78793570248986,-5.35715211112201,3.20511175257548e-07,5.73576703372725e-05,6.34467054107028,NA
"215268_at",-1.04908908249102,6.15037638151881,-5.35626383676259,3.21830594171812e-07,5.73576703372725e-05,6.34075519990214,NA
"234701_at",-1.04271972429607,6.95424169355638,-5.33837231063399,3.49562479097685e-07,5.97260267020811e-05,6.26198489666165,NA
"230378_at",2.00192994059503,5.05980151567663,5.31234703184255,3.94103087537707e-07,6.28209513443852e-05,6.14771868386089,NA
