"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"219717_at",-1.3282340999016,5.26778690073553,-7.4096088631795,9.26701886461682e-12,2.53337128211462e-07,16.3750296174424,"DCAF16"
"219384_s_at",-1.14930732968411,6.09371368245727,-6.846788708668,1.92634781388202e-10,2.63307666809999e-06,13.4527372673234,"ADAT1"
"217100_s_at",-1.14152391673932,4.96775213100087,-6.67420471239358,4.77556353236865e-10,2.90115484591396e-06,12.57950735491,"UBXN7"
"219387_at",-1.32239778976323,3.67753565534701,-6.3260765393809,2.87673146327856e-09,5.69036282970483e-06,10.8543249438445,"CCDC88A"
"204507_s_at",-1.1364199957311,4.93158167941531,-6.31788596219613,2.99907251369405e-09,5.69036282970483e-06,10.8143484546725,"PPP3R1"
"217700_at",1.0365274839624,4.63167026529638,6.13198200479155,7.65863100707003e-09,9.51671932526258e-06,9.91493860221881,"CNPY4"
"203491_s_at",-1.19498232098246,6.66532268894499,-6.07223940957924,1.03180156601358e-08,1.1377187430492e-05,9.6292064393597,"CEP57"
"201888_s_at",-1.07137618090895,5.90880817365225,-6.03261903923345,1.25619527318195e-08,1.25992592987136e-05,9.44062151641875,"IL13RA1"
"205005_s_at",-1.44631744094245,6.06145865432286,-5.99296611379686,1.52854247571692e-08,1.32930272271889e-05,9.25261537021675,"NMT2"
"201072_s_at",-1.05626548704495,6.50442430422795,-5.99254743332599,1.53170684099295e-08,1.32930272271889e-05,9.25063422557425,"SMARCC1"
"215446_s_at",-1.33743454968222,7.50056205117056,-5.97158309191538,1.69864602341791e-08,1.41246541435107e-05,9.15153940347924,"LOX"
"206338_at",1.00188092241336,5.31268221022343,5.9416111914833,1.96870355442152e-08,1.41439430035788e-05,9.01022949145782,"ELAVL3"
"210868_s_at",-1.30478153424453,3.91363755653228,-5.889710660497,2.53927238355512e-08,1.57766724512359e-05,8.76654803457053,"ELOVL6"
"211612_s_at",-1.31374332818191,5.93314614817116,-5.85822950639942,2.9613142371637e-08,1.64192333802601e-05,8.61937260489468,"IL13RA1"
"200835_s_at",-1.11481353727042,5.85919966042992,-5.7504505039915,4.99506409050028e-08,2.22036690364311e-05,8.11918239531027,"MAP4"
"217717_s_at",-1.05180731948822,10.1705436326185,-5.71939704278484,5.80107413264125e-08,2.45871107133458e-05,7.97613837938424,"YWHAB"
