"","GeneID","padj","pvalue","lfcSE","stat","log2FoldChange","baseMean","Symbol","Description"
"1",57608,3.17e-93,1.54e-97,0.1252,-20.9592791,-2.62,4062.93,"JCAD","junctional cadherin 5 associated"
"2",828,3.17e-93,3.02e-97,0.2193,20.9273153,4.59,6115.5,"CAPS","calcyphosine"
"3",2516,1.18e-87,1.68e-91,0.5059,-20.2868429,-10.3,1011.32,"NR5A1","nuclear receptor subfamily 5 group A member 1"
"4",387758,7.65e-87,1.46e-90,0.4128,-20.1804086,-8.33,4248.34,"FIBIN","fin bud initiation factor homolog"
"5",57535,8.29e-84,1.97e-87,0.2847,19.8207005,5.64,5892.93,"ELAPOR1","endosome-lysosome associated apoptosis and autophagy regulator 1"
"6",1300,1.46e-82,4.18e-86,0.4815,-19.6664318,-9.47,10855.98,"COL10A1","collagen type X alpha 1 chain"
"7",1632,2.77e-80,9.24e-84,0.081,19.3907208,1.57,1267.09,"ECI1","enoyl-CoA delta isomerase 1"
"8",90246,6.69e-79,2.55e-82,0.1754,19.2193927,3.37,427.1,"LOC90246","uncharacterized LOC90246"
"9",5549,1.01e-71,4.32e-75,0.3411,-18.3353543,-6.25,7447.58,"PRELP","proline and arginine rich end leucine rich repeat protein"
"10",9962,6.75e-71,3.21e-74,0.1283,-18.2259737,-2.34,4114.85,"SLC23A2","solute carrier family 23 member 2"
"11",5350,8.95e-71,4.69e-74,0.2627,-18.2052732,-4.78,1384.29,"PLN","phospholamban"
"12",2825,3.6e-67,2.05e-70,0.3603,-17.7401314,-6.39,432.4,"CMKLR2","chemerin chemokine-like receptor 2"
"13",3170,6.51e-67,4.02e-70,0.4296,17.7023077,7.6,421.58,"FOXA2","forkhead box A2"
"14",5924,1.07e-66,7.1e-70,0.232,-17.6703162,-4.1,2412.54,"RASGRF2","Ras protein specific guanine nucleotide releasing factor 2"
"15",9891,1.07e-64,7.67e-68,0.1624,-17.4041743,-2.83,2386.86,"NUAK1","NUAK family kinase 1"
"16",283987,4.02e-64,3.06e-67,0.1573,17.3247197,2.72,1866.16,"HID1","HID1 domain containing"
"17",55365,2.37e-63,1.92e-66,0.2225,-17.2187854,-3.83,3662.57,"TMEM176A","transmembrane protein 176A"
"18",1296,2.73e-63,2.34e-66,0.3509,-17.2072886,-6.04,2377.69,"COL8A2","collagen type VIII alpha 2 chain"
"19",3225,3.99e-63,3.61e-66,0.386,-17.1821729,-6.63,100.04,"HOXC9","homeobox C9"
"20",3078,1.02e-62,9.74e-66,0.3554,-17.1245248,-6.09,169.17,"CFHR1","complement factor H related 1"
"21",400043,9.5e-62,9.49e-65,0.3282,-16.9914984,-5.58,363.47,"LINC02381","long intergenic non-protein coding RNA 2381"
"22",10462,2.47e-61,2.59e-64,0.205,-16.9325943,-3.47,604.72,"CLEC10A","C-type lectin domain containing 10A"
"23",57475,8.79e-61,9.62e-64,0.1862,16.8551042,3.14,1029.25,"PLEKHH1","pleckstrin homology, MyTH4 and FERM domain containing H1"
"24",219749,9.49e-59,1.08e-61,0.0658,-16.5734554,-1.09,1144.36,"ZNF25","zinc finger protein 25"
"25",3664,3.02e-58,3.59e-61,0.327,16.5013178,5.4,2182.33,"IRF6","interferon regulatory factor 6"
"26",57088,6.47e-58,8.01e-61,0.1827,-16.4528094,-3.01,2917,"PLSCR4","phospholipid scramblase 4"
"27",64221,7.86e-58,1.01e-60,0.2254,-16.4387506,-3.71,600.76,"ROBO3","roundabout guidance receptor 3"
"28",80114,2.08e-56,2.77e-59,0.1799,-16.2367749,-2.92,2707.24,"BICC1","BicC family RNA binding protein 1"
"29",5153,4.13e-56,5.7e-59,0.307,-16.1924585,-4.97,744.51,"PDE1B","phosphodiesterase 1B"
"30",5774,5.59e-56,7.97e-59,0.278,16.1717894,4.5,2214.95,"PTPN3","protein tyrosine phosphatase non-receptor type 3"
"31",1378,6.32e-56,9.32e-59,0.2861,-16.1622102,-4.62,1651.33,"CR1","complement C3b/C4b receptor 1 (Knops blood group)"
"32",284434,1.69e-55,2.57e-58,0.4168,16.099472,6.71,361.28,"NWD1","NACHT and WD repeat domain containing 1"
"33",1475,2.31e-55,3.63e-58,0.2598,-16.0782383,-4.18,368.51,"CSTA","cystatin A"
"34",7857,2.58e-54,4.17e-57,0.3941,-15.9261275,-6.28,839.01,"SCG2","secretogranin II"
"35",120071,3.78e-54,6.29e-57,0.3463,15.9004207,5.51,840.58,"LARGE2","LARGE xylosyl- and glucuronyltransferase 2"
"36",57172,2.9e-53,4.97e-56,0.3399,-15.7703987,-5.36,604.99,"CAMK1G","calcium/calmodulin dependent protein kinase IG"
"37",3290,6.61e-53,1.16e-55,0.438,-15.7165704,-6.88,1166.67,"HSD11B1","hydroxysteroid 11-beta dehydrogenase 1"
"38",100507218,1.05e-52,1.89e-55,0.2215,15.6857941,3.47,297.07,"RNF157-AS1","RNF157 antisense RNA 1"
"39",4487,1.21e-52,2.25e-55,0.3138,15.6748445,4.92,2804.73,"MSX1","msh homeobox 1"
"40",60495,1.23e-52,2.34e-55,0.474,15.6723729,7.43,659.41,"HPSE2","heparanase 2 (inactive)"
"41",148113,1.81e-52,3.53e-55,0.4588,-15.6461879,-7.18,2016.15,"CILP2","cartilage intermediate layer protein 2"
"42",128602,2.16e-52,4.32e-55,0.5047,15.6333284,7.89,332.17,"C20orf85","chromosome 20 open reading frame 85"
"43",3075,2.17e-52,4.44e-55,0.3779,-15.6315899,-5.91,18630.7,"CFH","complement factor H"
"44",165,4.09e-51,8.57e-54,0.2404,-15.4417658,-3.71,65756.23,"AEBP1","AE binding protein 1"
"45",9936,1.23e-50,2.63e-53,0.1312,-15.3693774,-2.02,1499.97,"CD302","CD302 molecule"
"46",57834,3.8e-50,8.32e-53,0.3487,15.2945318,5.33,222.33,"CYP4F11","cytochrome P450 family 4 subfamily F member 11"
"47",4062,7.7e-50,1.72e-52,0.3492,-15.247069,-5.32,124.88,"LY6H","lymphocyte antigen 6 family member H"
"48",553158,9.46e-50,2.16e-52,0.1879,15.2322377,2.86,457.37,"PRR5-ARHGAP8","PRR5-ARHGAP8 readthrough"
"49",23584,3.05e-49,7.11e-52,0.2102,15.1541395,3.19,349.76,"VSIG2","V-set and immunoglobulin domain containing 2"
"50",80157,3.8e-49,9.04e-52,0.623,15.1383604,9.43,800.74,"CWH43","cell wall biogenesis 43 C-terminal homolog"
"51",51703,1.2e-48,2.92e-51,0.297,15.0611865,4.47,21190.98,"ACSL5","acyl-CoA synthetase long chain family member 5"
"52",167838,1.95e-48,4.84e-51,0.2842,-15.027692,-4.27,458.71,"TXLNB","taxilin beta"
"53",5010,2.03e-48,5.12e-51,0.5044,-15.0239431,-7.58,2663.58,"CLDN11","claudin 11"
"54",399669,2.37e-48,6.09e-51,0.2071,15.0123979,3.11,206.07,"ZNF321P","zinc finger protein 321, pseudogene"
"55",23779,6.43e-48,1.68e-50,0.3147,14.9448461,4.7,399.19,"ARHGAP8","Rho GTPase activating protein 8"
"56",105376526,2.07e-47,5.53e-50,0.3999,14.8654265,5.94,117.52,"LOC105376526","uncharacterized LOC105376526"
"57",4188,2.4e-47,6.52e-50,0.2207,-14.8543656,-3.28,991.56,"MDFI","MyoD family inhibitor"
"58",23338,4.17e-47,1.15e-49,0.1326,-14.816284,-1.97,2278.43,"JADE2","jade family PHD finger 2"
"59",29940,1.28e-46,3.6e-49,0.1921,-14.7393649,-2.83,4563.87,"DSE","dermatan sulfate epimerase"
"60",399949,1.39e-46,3.96e-49,0.3968,14.7329626,5.85,162,"HOATZ","HOATZ cilia and flagella associated protein"
"61",196463,2.01e-46,5.82e-49,0.1404,-14.706878,-2.07,7026.88,"PLBD2","phospholipase B domain containing 2"
"62",23643,2.09e-46,6.18e-49,0.2677,-14.7028457,-3.94,896.86,"LY96","lymphocyte antigen 96"
"63",389118,3.18e-46,9.53e-49,0.4124,14.6734703,6.05,149.16,"CDHR4","cadherin related family member 4"
"64",10256,3.85e-46,1.17e-48,0.2738,14.6593496,4.01,652.62,"CNKSR1","connector enhancer of kinase suppressor of Ras 1"
"65",28442,1.18e-45,3.64e-48,0.5975,-14.5823057,-8.71,3641.89,"IGHV3-23","immunoglobulin heavy variable 3-23"
"66",153562,1.27e-45,3.97e-48,0.3035,14.5763048,4.42,582.59,"MARVELD2","MARVEL domain containing 2"
"67",64284,1.41e-45,4.51e-48,0.2247,14.5676534,3.27,294.6,"RAB17","RAB17, member RAS oncogene family"
"68",7087,2.26e-45,7.32e-48,0.4248,-14.5345615,-6.17,90.6,"ICAM5","intercellular adhesion molecule 5"
"69",28959,2.63e-45,8.64e-48,0.2615,-14.5231803,-3.8,5475.01,"TMEM176B","transmembrane protein 176B"
"70",9053,6.25e-45,2.08e-47,0.2465,14.4627999,3.57,2040.6,"MAP7","microtubule associated protein 7"
"71",3494,6.56e-45,2.22e-47,0.6172,-14.4585,-8.92,10932.4,"IGHA2","immunoglobulin heavy constant alpha 2 (A2m marker)"
"72",2213,1.41e-44,4.84e-47,0.3874,-14.4045825,-5.58,1708.85,"FCGR2B","Fc gamma receptor IIb"
"73",105373880,5.08e-44,1.77e-46,0.203,-14.3148954,-2.91,59.55,"LOC105373880","uncharacterized LOC105373880"
"74",401546,1.31e-43,4.6e-46,0.497,14.2481368,7.08,1077.6,"C9orf152","chromosome 9 open reading frame 152"
"75",10990,1.52e-43,5.41e-46,0.3171,-14.2368617,-4.51,2061.33,"LILRB5","leukocyte immunoglobulin like receptor B5"
"76",4126,2.03e-43,7.34e-46,0.1365,-14.2155409,-1.94,2197.63,"MANBA","mannosidase beta"
"77",3493,5.44e-43,1.99e-45,0.6208,-14.1454791,-8.78,37851.32,"IGHA1","immunoglobulin heavy constant alpha 1"
"78",633,1.99e-42,7.39e-45,0.3061,-14.052974,-4.3,38553.45,"BGN","biglycan"
"79",286207,2.14e-42,8.03e-45,0.1587,14.0470376,2.23,446.85,"CFAP157","cilia and flagella associated protein 157"
"80",684,3.51e-42,1.34e-44,0.249,-14.010983,-3.49,10034.31,"BST2","bone marrow stromal cell antigen 2"
"81",10085,3.58e-42,1.38e-44,0.2467,-14.0086034,-3.46,4516.05,"EDIL3","EGF like repeats and discoidin domains 3"
"82",105372318,3.65e-42,1.43e-44,0.5745,-14.0063315,-8.05,1048.33,"LOC105372318","uncharacterized LOC105372318"
"83",9719,4.86e-42,1.92e-44,0.2877,-13.9852232,-4.02,803.82,"ADAMTSL2","ADAMTS like 2"
"84",8840,6.3e-42,2.52e-44,0.3799,-13.9658207,-5.31,4848.59,"CCN4","cellular communication network factor 4"
"85",1295,6.77e-42,2.74e-44,0.484,-13.9598967,-6.76,13333.57,"COL8A1","collagen type VIII alpha 1 chain"
"86",3993,7.68e-42,3.14e-44,0.2465,13.9500696,3.44,3457.65,"LLGL2","LLGL scribble cell polarity complex component 2"
"87",22941,9.36e-42,3.87e-44,0.3575,13.935144,4.98,581.14,"SHANK2","SH3 and multiple ankyrin repeat domains 2"
"88",28424,1.46e-41,6.1e-44,0.5872,-13.9027172,-8.16,964.46,"IGHV3-48","immunoglobulin heavy variable 3-48"
