"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
"1","A_32_P224888",3.84e-07,1.01e-11,-9.581117,16.1930284,-3.2357872,"FYN","FYN proto-oncogene, Src family tyrosine kinase"
"2","A_24_P376070",3.42e-06,1.8e-10,-8.592533,13.5681282,-3.0106597,"TNAP","TRAFs and NIK-associated protein"
"3","A_24_P230691",8.86e-06,7.01e-10,-8.13995,12.3199356,-2.7866189,"KIF13A","kinesin family member 13A"
"4","A_24_P333306",1.85e-05,1.96e-09,-7.802658,11.3722723,-2.4340286,"",""
"5","A_24_P264994",2.03e-05,2.67e-09,-7.701101,11.0842015,-3.1497162,"LOC100129397","uncharacterized LOC100129397"
"6","A_23_P310",2.19e-05,4.03e-09,7.567281,10.7027811,2.0730798,"MARCKSL1","MARCKS like 1"
"7","A_32_P46722",2.19e-05,4.05e-09,-7.565787,10.6985117,-3.0862984,"",""
"8","A_23_P404730",2.32e-05,4.9e-09,-7.504393,10.522839,-2.6068538,"ARHGAP33","Rho GTPase activating protein 33"
"9","A_32_P64668",2.87e-05,6.81e-09,-7.397784,10.2168087,-2.4708261,"",""
"10","A_23_P252388",3.11e-05,8.21e-09,-7.337552,10.0433766,-3.8134286,"SPEF2","sperm flagellar 2"
"11","A_32_P152986",3.88e-05,1.13e-08,-7.23552,9.7487455,-2.3458674,"",""
"12","A_32_P65616",4.08e-05,1.31e-08,-7.186782,9.6076426,-4.0370531,"PRL","prolactin"
"13","A_32_P309404",4.08e-05,1.44e-08,-7.155665,9.5174387,-2.3272197,"SLC22A3","solute carrier family 22 member 3"
"14","A_23_P364236",4.08e-05,1.51e-08,-7.142114,9.4781254,-2.8175415,"MGA","MGA, MAX dimerization protein"
"15","A_24_P7974",4.41e-05,1.74e-08,-7.095265,9.3420819,-2.4748829,"SLC26A6","solute carrier family 26 member 6"
"16","A_24_P80915",4.62e-05,1.95e-08,-7.059657,9.2385496,-3.0123485,"BCLAF1","BCL2 associated transcription factor 1"
"17","A_32_P17145",7.68e-05,3.67e-08,-6.858134,8.6505357,-2.8546929,"",""
"18","A_32_P209702",7.68e-05,3.91e-08,-6.837829,8.5911054,-2.4446211,"",""
"19","A_24_P941427",7.68e-05,4.1e-08,-6.822348,8.5457731,-2.4844183,"",""
"20","A_23_P326913",7.68e-05,4.25e-08,-6.811349,8.5135548,-3.4260916,"PRUNE2","prune homolog 2"
"21","A_32_P1533",7.68e-05,4.26e-08,-6.810693,8.5116323,-2.8253794,"LOC202181","SUMO interacting motifs containing 1 pseudogene"
"22","A_32_P887687",7.99e-05,4.64e-08,-6.783424,8.4317122,-3.4954745,"LOC400756","uncharacterized LOC400756"
"23","A_32_P77225",0.000105,6.35e-08,-6.683372,8.1380218,-2.616917,"",""
"24","A_32_P206561",0.000109,6.89e-08,-6.657416,8.0617164,-2.7755842,"",""
"25","A_24_P937159",0.00011,7.35e-08,-6.637028,8.0017511,-2.2915773,"KLF8","Kruppel like factor 8"
"26","A_24_P927936",0.00011,7.57e-08,-6.627647,7.9741479,-2.8989396,"",""
"27","A_23_P103971",0.000116,8.38e-08,-6.595297,7.8789259,-4.4652926,"CYP4Z1","cytochrome P450 family 4 subfamily Z member 1"
"28","A_32_P227043",0.000116,8.6e-08,-6.58729,7.8553462,-2.5509974,"",""
"29","A_23_P126706",0.000128,1.01e-07,-6.537264,7.7079398,-3.4824851,"ANGPTL1","angiopoietin like 1"
"30","A_32_P114615",0.000128,1.08e-07,-6.515318,7.6432261,-2.4765065,"",""
"31","A_23_P42802",0.000128,1.12e-07,6.502736,7.6061127,2.7821527,"PDIA4","protein disulfide isomerase family A member 4"
"32","A_32_P139260",0.000128,1.13e-07,-6.501239,7.6016988,-2.0397895,"",""
"33","A_24_P917668",0.000128,1.14e-07,-6.497503,7.5906755,-3.9247382,"",""
"34","A_24_P214556",0.000128,1.17e-07,-6.489452,7.5669197,-2.8630675,"",""
"35","A_24_P930391",0.000128,1.18e-07,-6.487622,7.5615195,-3.2408714,"",""
"36","A_23_P37704",0.000135,1.28e-07,6.461889,7.485569,2.5559853,"CDT1","chromatin licensing and DNA replication factor 1"
"37","A_24_P162128",0.00015,1.46e-07,-6.41858,7.3576602,-2.3785588,"ASAP1-IT2","ASAP1 intronic transcript 2"
"38","A_24_P38895",0.00015,1.56e-07,6.398849,7.2993559,2.243686,"H2AFX","H2A histone family member X"
"39","A_32_P47019",0.00015,1.61e-07,-6.388722,7.2694262,-2.0856459,"",""
"40","A_24_P928637",0.00015,1.64e-07,-6.383311,7.2534304,-2.4558193,"ASAH1","N-acylsphingosine amidohydrolase 1"
"41","A_32_P141969",0.00015,1.65e-07,-6.381584,7.2483242,-3.4878323,"NTRK3","neurotrophic receptor tyrosine kinase 3"
"42","A_32_P222872",0.00015,1.66e-07,-6.379067,7.2408843,-2.3444971,"",""
"43","A_24_P919640",0.000158,1.82e-07,-6.349219,7.1526208,-3.6419105,"CD44","CD44 molecule (Indian blood group)"
"44","A_23_P429998",0.000158,1.83e-07,-6.34771,7.1481587,-5.7372348,"FOSB","FosB proto-oncogene, AP-1 transcription factor subunit"
"45","A_23_P113161",0.000161,1.91e-07,-6.335061,7.1107404,-2.2724175,"C1orf21","chromosome 1 open reading frame 21"
"46","A_23_P70213",0.000161,1.98e-07,-6.32351,7.0765668,-3.379662,"APC","APC, WNT signaling pathway regulator"
"47","A_23_P217379",0.000161,2.11e-07,-6.303943,7.0186621,-3.0661633,"COL4A6","collagen type IV alpha 6 chain"
"48","A_24_P769977",0.000161,2.11e-07,-6.303215,7.0165076,-2.153138,"",""
"49","A_32_P207481",0.000161,2.14e-07,-6.299281,7.0048659,-2.2697205,"KALRN","kalirin, RhoGEF kinase"
"50","A_24_P890536",0.000161,2.16e-07,-6.296027,6.9952339,-2.0129118,"LINC01410","long intergenic non-protein coding RNA 1410"
"51","A_23_P354308",0.000161,2.21e-07,-6.289261,6.9752043,-2.7815331,"ABI3BP","ABI family member 3 binding protein"
"52","A_32_P176956",0.000161,2.21e-07,-6.289064,6.9746209,-2.3102667,"",""
"53","A_32_P105195",0.000162,2.26e-07,-6.2818,6.9531182,-1.5958368,"DDX46","DEAD-box helicase 46"
"54","A_32_P195850",0.000162,2.3e-07,-6.275773,6.935273,-2.0980819,"DPY19L2","dpy-19 like 2"
"55","A_24_P772488",0.000168,2.47e-07,-6.254014,6.8708405,-2.5073697,"PLXNA4","plexin A4"
"56","A_24_P252739",0.000168,2.48e-07,-6.251985,6.8648298,-2.462574,"KLF6","Kruppel like factor 6"
"57","A_23_P24077",0.000175,2.63e-07,-6.233723,6.8107399,-2.3446267,"C10orf54","chromosome 10 open reading frame 54"
"58","A_32_P45297",0.00018,2.76e-07,-6.21895,6.766971,-2.8659115,"LINC00312","long intergenic non-protein coding RNA 312"
"59","A_23_P215459",0.000184,2.89e-07,-6.203985,6.7226284,-3.4086081,"ELN","elastin"
"60","A_32_P189662",0.000184,2.91e-07,-6.201416,6.7150164,-2.6399665,"",""
"61","A_24_P140608",0.000186,3e-07,-6.192522,6.6886578,-2.377947,"HBEGF","heparin binding EGF like growth factor"
"62","A_32_P163891",0.000189,3.09e-07,-6.183024,6.6605072,-2.6858208,"",""
"63","A_32_P203959",0.000189,3.14e-07,6.177383,6.6437861,2.0078955,"",""
"64","A_24_P234415",0.000198,3.34e-07,-6.158587,6.5880651,-3.4468409,"STAC","SH3 and cysteine rich domain"
